Average_Mass,Sum_Intensity,Number_of_Charge_States,Number_of_Detected_Intervals,Relative_Abundance,Fractional_Abundance,Scan_Range,RT_Range,Apex_RT
18977.143126,3365518023.95,19,182,100.0000,25.2810,4018-9222,7.654-17.550,8.704
20327.137362,3161718026.50,18,37,93.9445,23.7501,5598-6938,10.650-13.200,11.900
20343.461327,977753996.44,18,101,29.0521,7.3447,5677-9196,10.810-17.500,11.750
20326.917997,555535494.44,18,104,16.5067,4.1731,6492-9301,12.360-17.700,12.600
18979.355463,365204672.50,13,6,10.8514,2.7433,4572-4914,8.704-9.353,8.753
18977.863565,296470772.00,17,6,8.8091,2.2270,4307-4543,8.205-8.653,8.604
20310.294302,277928001.25,17,117,8.2581,2.0877,5335-9196,10.150-17.500,11.800
18390.288428,267814296.22,17,18,7.9576,2.0118,4097-4967,7.805-9.453,8.304
18993.763305,215387657.94,17,30,6.3998,1.6179,4150-5308,7.905-10.100,8.504
18959.269472,197378292.34,13,30,5.8647,1.4827,4228-5203,8.055-9.903,8.654
19740.319457,181263734.45,17,22,5.3859,1.3616,5519-6174,10.500-11.750,11.000
18393.129734,143685130.50,12,11,4.2693,1.0793,4097-4464,7.805-8.504,8.304
27250.831187,126284763.00,22,11,3.7523,0.9486,2181-2495,4.155-4.753,4.404
27753.711538,115425616.97,22,22,3.4297,0.8671,1945-2626,3.705-5.003,4.354
20212.334020,96037022.19,17,12,2.8536,0.7214,5677-6017,10.810-11.450,11.050
27581.032581,93429383.31,21,11,2.7761,0.7018,2207-2521,4.204-4.803,4.354
27737.072315,92289869.75,21,12,2.7422,0.6933,2181-2600,4.155-4.953,4.354
20283.043914,86102173.19,13,24,2.5584,0.6468,5939-6832,11.300-13.000,11.900
27378.978111,84111023.25,20,10,2.4992,0.6318,2181-2547,4.155-4.853,4.404
27597.876630,82781633.59,20,15,2.4597,0.6218,1971-2495,3.755-4.753,4.354
18883.793366,70288740.75,16,9,2.0885,0.5280,4071-4332,7.756-8.252,8.004
